                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.55297,                0.54731,                 1.0593,                0.89732,                0.86588,                0.90666,                0.76681,                0.61324,                0.53203,                 1.2171,              0.0046045,              0.0046045,              0.0046045
                    111,                0.55647,                0.56013,                 1.0593,                0.91652,                0.83176,                0.90042,                0.76562,                0.61025,                0.54623,                 1.2146,               0.004555,               0.004555,               0.004555
                    112,                0.55002,                0.54369,                 1.0582,                0.91858,                   0.84,                0.89953,                0.76256,                0.62759,                0.54463,                  1.223,              0.0045055,              0.0045055,              0.0045055
                    113,                0.55531,                0.55889,                 1.0611,                0.92264,                0.86588,                0.91243,                0.77008,                0.62178,                0.51455,                 1.2335,               0.004456,               0.004456,               0.004456
                    114,                0.55044,                0.54824,                 1.0556,                0.92848,                0.84118,                0.91079,                0.77303,                0.61656,                0.52607,                 1.2202,              0.0044065,              0.0044065,              0.0044065
                    115,                0.54942,                0.55226,                 1.0576,                 0.9053,                0.85059,                0.90483,                0.75913,                 0.6373,                0.54937,                 1.2424,               0.004357,               0.004357,               0.004357
                    116,                0.54628,                0.54164,                 1.0548,                0.91056,                0.85765,                0.90597,                0.76419,                0.62725,                0.54586,                 1.2285,              0.0043075,              0.0043075,              0.0043075
                    117,                0.54481,                0.54188,                 1.0512,                0.91349,                0.84588,                0.90634,                0.75966,                 0.6211,                0.52731,                 1.2213,               0.004258,               0.004258,               0.004258
                    118,                0.54242,                0.54231,                 1.0537,                0.90209,                0.85059,                0.89915,                0.75353,                0.62814,                0.54103,                 1.2318,              0.0042085,              0.0042085,              0.0042085
                    119,                0.54232,                0.53938,                 1.0503,                0.90308,                0.85176,                0.90401,                0.76481,                0.61096,                0.53568,                 1.2127,               0.004159,               0.004159,               0.004159
                    120,                 0.5379,                 0.5371,                 1.0508,                0.91136,                0.83294,                0.90296,                0.76799,                0.60737,                0.53593,                 1.2089,              0.0041095,              0.0041095,              0.0041095
                    121,                 0.5408,                0.53093,                 1.0494,                0.91869,                0.84824,                0.90468,                 0.7672,                0.61907,                 0.5395,                 1.2316,                0.00406,                0.00406,                0.00406
                    122,                 0.5283,                0.52469,                  1.039,                0.93435,                0.83715,                 0.9037,                0.76568,                0.62417,                0.52909,                 1.2414,              0.0040105,              0.0040105,              0.0040105
                    123,                0.53426,                0.53738,                 1.0442,                0.91771,                0.84941,                0.90034,                0.76902,                0.61352,                 0.5239,                 1.2169,               0.003961,               0.003961,               0.003961
                    124,                0.53096,                0.52214,                 1.0456,                0.91025,                0.85647,                0.90154,                0.76542,                0.61767,                0.54316,                  1.226,              0.0039115,              0.0039115,              0.0039115
                    125,                0.52645,                0.52525,                 1.0397,                0.90868,                0.85456,                 0.9014,                0.76567,                0.61515,                0.53955,                 1.2219,               0.003862,               0.003862,               0.003862
                    126,                0.53733,                0.52179,                 1.0418,                0.91358,                0.85814,                0.90341,                0.76059,                0.62858,                0.54022,                 1.2281,              0.0038125,              0.0038125,              0.0038125
                    127,                0.52186,                0.51987,                 1.0399,                0.91489,                0.85059,                0.90574,                0.77152,                0.60635,                0.51971,                 1.2088,               0.003763,               0.003763,               0.003763
                    128,                0.52201,                0.50629,                  1.039,                0.91551,                0.84137,                0.89695,                0.76705,                0.60733,                0.52328,                 1.2173,              0.0037135,              0.0037135,              0.0037135
                    129,                0.53527,                0.52318,                 1.0449,                0.92384,                0.84824,                0.90357,                0.76934,                0.61178,                0.52369,                 1.2276,               0.003664,               0.003664,               0.003664
                    130,                0.52946,                0.52801,                 1.0392,                 0.9052,                0.84824,                0.89928,                0.76974,                0.60398,                0.53084,                 1.2137,              0.0036145,              0.0036145,              0.0036145
                    131,                0.52288,                0.52642,                 1.0377,                 0.9174,                0.84929,                0.90485,                0.77102,                0.62307,                0.52933,                 1.2342,               0.003565,               0.003565,               0.003565
                    132,                 0.5184,                0.51235,                 1.0387,                0.91439,                0.83294,                0.90058,                0.76929,                0.61313,                0.53142,                 1.2139,              0.0035155,              0.0035155,              0.0035155
                    133,                0.50534,                0.50652,                 1.0336,                0.91875,                0.85176,                0.90282,                0.76628,                0.61463,                0.52685,                 1.2234,               0.003466,               0.003466,               0.003466
                    134,                0.50717,                0.49343,                 1.0337,                0.90421,                0.86617,                0.90515,                0.76927,                0.61116,                0.51966,                 1.2248,              0.0034165,              0.0034165,              0.0034165
                    135,                0.51761,                0.50937,                 1.0327,                0.92313,                0.84771,                0.90824,                0.77791,                0.59184,                0.52354,                 1.1998,               0.003367,               0.003367,               0.003367
                    136,                0.51275,                0.50801,                 1.0327,                0.90401,                0.85311,                0.90485,                0.77925,                0.58805,                0.52404,                 1.1907,              0.0033175,              0.0033175,              0.0033175
                    137,                0.50557,                0.49871,                 1.0262,                0.88137,                0.86118,                0.89908,                0.77658,                0.59679,                0.52505,                 1.2094,               0.003268,               0.003268,               0.003268
                    138,                0.50425,                0.49597,                 1.0272,                0.91568,                0.85605,                0.90636,                0.78252,                0.59069,                0.51365,                 1.2071,              0.0032185,              0.0032185,              0.0032185
                    139,                0.51177,                0.50436,                 1.0295,                0.92106,                0.84706,                0.89963,                 0.7732,                0.59819,                0.52467,                 1.2095,               0.003169,               0.003169,               0.003169
                    140,                 0.5086,                0.49764,                 1.0329,                0.91033,                0.85294,                0.89898,                0.77149,                0.59559,                0.51842,                 1.2119,              0.0031195,              0.0031195,              0.0031195
                    141,                0.50679,                 0.4914,                 1.0316,                0.89307,                0.86467,                0.90043,                 0.7716,                0.60254,                 0.5176,                 1.2215,                0.00307,                0.00307,                0.00307
                    142,                0.50684,                0.49249,                 1.0294,                  0.906,                0.86183,                0.89918,                0.77294,                0.59441,                0.52171,                 1.2033,              0.0030205,              0.0030205,              0.0030205
                    143,                0.49031,                0.48071,                 1.0185,                0.93106,                0.83059,                0.90108,                0.77358,                0.59109,                0.51341,                 1.1992,               0.002971,               0.002971,               0.002971
                    144,                0.49616,                0.47479,                 1.0171,                0.94358,                0.82118,                 0.9014,                0.77896,                0.58906,                 0.5183,                 1.2034,              0.0029215,              0.0029215,              0.0029215
                    145,                0.50754,                0.48389,                 1.0263,                 0.9314,                0.84118,                0.90569,                0.78243,                0.58908,                0.50701,                 1.2051,               0.002872,               0.002872,               0.002872
                    146,                0.49975,                0.49206,                  1.026,                0.92826,                0.83882,                0.90569,                0.78242,                0.59157,                0.50957,                 1.2048,              0.0028225,              0.0028225,              0.0028225
